level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,7,1,6,8,2789,2715,198,36,96.430443,$220.00
5,1,7,1,7,1,1020,2821,237,44,96.348289,Payment
5,1,7,1,7,2,1281,2818,120,37,95.661552,Info:
5,1,7,1,7,3,2384,2799,94,31,94.9431,Tax:
5,1,7,1,7,4,2790,2798,146,32,96.198303,0.00%
5,1,7,1,8,1,1016,2891,131,19,93.304672,Account
5,1,7,1,8,2,1161,2891,27,19,92.515327,#:
5,1,7,1,8,3,1283,2890,67,20,95.404724,1234
5,1,7,1,8,4,1363,2890,72,20,96.887299,5678
5,1,7,1,8,5,1449,2890,67,20,95.013672,9012
5,1,7,1,9,1,1016,2931,54,26,96.599007,A/C
5,1,7,1,9,2,1086,2935,97,19,96.659683,Name:
5,1,7,1,9,3,1285,2935,96,19,95.966324,Lorem
5,1,7,1,9,4,1398,2935,93,19,94.288834,Ipsum
5,1,7,1,10,1,1018,2977,78,21,96.916306,Bank
5,1,7,1,10,2,1111,2977,117,21,96.203957,Details:
5,1,7,1,10,3,1282,2977,61,21,92.74527,Add
5,1,7,1,10,4,1357,2939,69,65,93.287743,your
5,1,7,1,10,5,1441,2973,106,35,96.064957,details
5,1,7,1,10,6,2383,2947,131,40,96.667847,Tota
5,1,7,1,10,7,2527,2945,27,42,82.876816,I:
5,1,7,1,10,8,2743,2941,244,52,96.875534,$220.00
5,1,8,1,1,1,1015,3181,138,29,92.246681,Terms
5,1,8,1,1,2,1174,3181,26,30,92.246681,&
5,1,8,1,1,3,1220,3179,250,31,96.353912,Conditions
5,1,9,1,1,1,1017,3247,81,17,96.233253,Lorem
5,1,9,1,1,2,1112,3246,79,22,95.674347,ipsum
5,1,9,1,1,3,1204,3246,68,18,96.559937,dolor
5,1,9,1,1,4,1284,3246,31,18,96.499352,sit
5,1,9,1,1,5,1327,3248,74,19,96.662025,"amet,"
5,1,9,1,1,6,1413,3248,161,16,96.453796,consectetur
5,1,9,1,1,7,1586,3246,138,23,95.620132,adipiscing
5,1,9,1,1,8,1737,3246,49,18,93.269012,elit.
5,1,9,1,1,9,1800,3247,74,17,91.128662,Fusce
5,1,9,1,2,1,1016,3287,129,23,96.53064,dignissim
5,1,9,1,2,2,1159,3287,105,22,96.070023,pretium
5,1,9,1,2,3,1276,3290,169,15,95.960693,consectetur.
5,1,9,1,2,4,1457,3287,127,18,96.184814,Curabitur
5,1,9,1,2,5,1595,3290,98,19,95.876396,tempor
5,1,9,1,2,6,1706,3292,106,17,95.466751,posuere
5,1,9,1,2,7,1824,3292,81,13,95.853546,massa
5,1,9,1,2,8,1919,3287,21,18,95.853546,in
5,1,9,1,3,1,1015,3328,87,18,95.705193,varius.
5,1,9,1,3,2,1116,3329,175,22,96.190338,Pellentesque
5,1,9,1,3,3,1302,3328,90,18,96.511253,viverra
5,1,9,1,3,4,1406,3328,56,18,95.365059,nibh
5,1,9,1,3,5,1475,3333,30,13,96.145699,eu
5,1,9,1,3,6,1517,3328,112,18,96.094307,vehicula
5,1,9,1,3,7,1642,3328,91,18,96.006737,mattis.
5,1,9,1,3,8,1746,3329,93,17,96.006737,Nullam
5,1,9,1,3,9,1853,3331,69,20,96.016197,porta
5,1,10,1,1,1,2534,3420,240,30,96.080399,Authorised
5,1,10,1,1,2,2795,3420,91,38,96.029045,Sign
